"type","word1","word2","word3","word4"
"arm","klippa","signera","grabba","rota"
"arm","tvätta","piska","klösa","nypa"
"arm","slå","gnugga","borsta","rista"
"leg","stå","skrida","sparka","snava"
"arm","slunga","svabba","peta","knycka"
"leg","halka","halta","stövla","skutta"
"leg","svaja","flanera","glida","stampa"
"leg","vandra","promenera","kila","knäa"
"arm","putta","linda","hacka","klicka"
"arm","fila","bulta","norpa","skura"
"leg","vingla","stiga","löpa","ila"
"leg","skynda","snubbla","trippa","gå"
"leg","smyga","rusa","hoppa","skejta"
"arm","skrubba","sno","polera","dunka"
"leg","trampa","kliva","tassa","linka"
"arm","fläta","kasta","torka","gripa"
"arm","klappa","vika","repa","fånga"
"leg","springa","knalla","tåga","marschera"
"leg","vanka","jogga","cykla","vackla"
"arm","rycka","greppa","slipa","pilla"
"leg","ströva","ragla","stappla","fly"
"leg","strutta","stega","svassa","pinna"
"arm","vira","hissa","ösa","skyffla"
"arm","plocka","daska","snärta","hiva"
"leg","vada","lunka","traska","ränna"
"arm","skala","knacka","karva","banka"
