"type","word1","word2","word3","word4"
"leg","vackla","stå","stampa","ragla"
"arm","gnugga","karva","slunga","skala"
"leg","strutta","stega","stövla","glida"
"leg","cykla","stappla","rusa","traska"
"arm","grabba","sno","daska","gripa"
"leg","halta","stiga","lunka","sparka"
"arm","piska","plocka","dunka","tvätta"
"arm","bulta","linda","polera","knacka"
"leg","smyga","knäa","pinna","snava"
"leg","knalla","svassa","löpa","vada"
"arm","rycka","fånga","slå","ösa"
"leg","trampa","skutta","fly","kila"
"arm","pilla","hacka","rota","vira"
"arm","snärta","knycka","peta","vika"
"arm","greppa","torka","fila","putta"
"leg","springa","vanka","snubbla","jogga"
"arm","hiva","nypa","hissa","skyffla"
"arm","klicka","rista","banka","svabba"
"leg","tassa","marschera","vingla","ila"
"leg","trippa","linka","vandra","hoppa"
"arm","norpa","klappa","klippa","skrubba"
"leg","svaja","ströva","kliva","skynda"
"arm","repa","skura","klösa","slipa"
"leg","halka","flanera","tåga","skrida"
"leg","ränna","skejta","gå","promenera"
"arm","fläta","signera","borsta","kasta"
