type,word1,word2,word3,word4
arm,grabba,knacka,hissa,rota
arm,nypa,borsta,karva,svabba
arm,putta,daska,rycka,ösa
leg,trampa,löpa,rusa,gå
leg,vandra,flanera,stappla,vanka
arm,pilla,bulta,plocka,klappa
leg,svaja,ila,stå,vada
leg,skynda,linka,svassa,kila
arm,rista,kasta,slipa,klicka
leg,springa,tåga,snubbla,glida
arm,slå,sno,repa,fånga
arm,torka,fläta,snärta,klösa
arm,greppa,knycka,skura,linda
leg,marschera,ränna,stövla,stega
leg,strutta,smyga,trippa,lunka
arm,polera,gnugga,dunka,skrubba
leg,skutta,tassa,promenera,sparka
leg,traska,pinna,kliva,ströva
arm,vira,fila,signera,gripa
arm,skyffla,norpa,tvätta,klippa
arm,banka,piska,hiva,hacka
leg,jogga,knalla,stampa,halta
leg,halka,fly,skejta,snava
arm,skala,vika,slunga,peta
leg,skrida,vackla,hoppa,stiga
leg,vingla,knäa,ragla,cykla
