type,word1,word2,word3,word4
arm,linda,nypa,pilla,putta
leg,fly,pinna,vandra,svassa
leg,promenera,ila,vanka,stiga
arm,repa,norpa,borsta,karva
leg,kliva,tåga,halka,skynda
arm,sno,greppa,plocka,hiva
arm,rota,bulta,ösa,slipa
arm,klösa,hacka,fånga,knacka
leg,gå,ströva,sparka,knäa
leg,stappla,glida,kila,stampa
arm,polera,rista,piska,klippa
leg,smyga,hoppa,knalla,skrida
arm,knycka,hissa,tvätta,slå
leg,ragla,flanera,marschera,löpa
arm,kasta,skrubba,fläta,skyffla
leg,traska,snubbla,vingla,vackla
arm,klappa,skala,slunga,klicka
arm,gripa,dunka,banka,grabba
leg,stövla,springa,svaja,skutta
leg,snava,strutta,stega,ränna
leg,tassa,halta,cykla,skejta
arm,peta,svabba,fila,snärta
leg,trampa,jogga,lunka,rusa
arm,skura,signera,vika,daska
leg,vada,trippa,stå,linka
arm,vira,gnugga,torka,rycka
