type,word1,word2,word3,word4
arm,linda,nypa,pilla,putta
arm,klappa,skala,slunga,klicka
arm,polera,rista,piska,klippa
leg,gå,ströva,sparka,knäa
arm,vira,gnugga,torka,rycka
leg,smyga,hoppa,knalla,skrida
leg,stövla,springa,svaja,skutta
leg,fly,pinna,vandra,svassa
arm,repa,norpa,borsta,karva
leg,traska,snubbla,vingla,vackla
arm,peta,svabba,fila,snärta
arm,skura,signera,vika,daska
leg,kliva,tåga,halka,skynda
leg,tassa,halta,cykla,skejta
arm,rota,bulta,ösa,slipa
leg,trampa,jogga,lunka,rusa
arm,kasta,skrubba,fläta,skyffla
arm,knycka,hissa,tvätta,slå
arm,gripa,dunka,banka,grabba
leg,promenera,ila,vanka,stiga
leg,stappla,glida,kila,stampa
leg,snava,strutta,stega,ränna
arm,klösa,hacka,fånga,knacka
leg,vada,trippa,stå,linka
leg,ragla,flanera,marschera,löpa
arm,sno,greppa,plocka,hiva
