type,word1,word2,word3,word4
arm,repa,norpa,borsta,karva
leg,stövla,springa,svaja,skutta
arm,klösa,hacka,fånga,knacka
leg,stappla,glida,kila,stampa
arm,rota,bulta,ösa,slipa
leg,tassa,halta,cykla,skejta
arm,sno,greppa,plocka,hiva
arm,peta,svabba,fila,snärta
leg,promenera,ila,vanka,stiga
leg,fly,pinna,vandra,svassa
arm,kasta,skrubba,fläta,skyffla
leg,snava,strutta,stega,ränna
arm,klappa,skala,slunga,klicka
arm,linda,nypa,pilla,putta
leg,gå,ströva,sparka,knäa
leg,traska,snubbla,vingla,vackla
leg,kliva,tåga,halka,skynda
arm,knycka,hissa,tvätta,slå
arm,gripa,dunka,banka,grabba
leg,trampa,jogga,lunka,rusa
arm,skura,signera,vika,daska
leg,smyga,hoppa,knalla,skrida
leg,ragla,flanera,marschera,löpa
arm,vira,gnugga,torka,rycka
leg,vada,trippa,stå,linka
arm,polera,rista,piska,klippa
