type,word1,word2,word3,word4
leg,strutta,smyga,trippa,lunka
arm,nypa,borsta,karva,svabba
leg,marschera,ränna,stövla,stega
leg,svaja,ila,stå,vada
arm,greppa,knycka,skura,linda
leg,vandra,flanera,stappla,vanka
arm,skyffla,norpa,tvätta,klippa
arm,torka,fläta,snärta,klösa
arm,putta,daska,rycka,ösa
leg,trampa,löpa,rusa,gå
leg,springa,tåga,snubbla,glida
arm,slå,sno,repa,fånga
leg,halka,fly,skejta,snava
leg,skrida,vackla,hoppa,stiga
arm,skala,vika,slunga,peta
leg,jogga,knalla,stampa,halta
arm,vira,fila,signera,gripa
arm,banka,piska,hiva,hacka
arm,polera,gnugga,dunka,skrubba
leg,traska,pinna,kliva,ströva
arm,rista,kasta,slipa,klicka
leg,skynda,linka,svassa,kila
arm,grabba,knacka,hissa,rota
arm,pilla,bulta,plocka,klappa
leg,skutta,tassa,promenera,sparka
leg,vingla,knäa,ragla,cykla
