type,word1,word2,word3,word4
leg,vada,trippa,vingla,snava
leg,promenera,knalla,hoppa,cykla
arm,klappa,pilla,banka,putta
arm,tvätta,hiva,peta,rista
leg,gå,knäa,pinna,linka
leg,vandra,stampa,skejta,ströva
arm,skala,signera,hissa,plocka
arm,vika,gripa,slå,torka
leg,springa,stappla,stövla,svassa
arm,knacka,gnugga,skrubba,skura
leg,ila,snubbla,skynda,smyga
leg,svaja,vackla,flanera,kila
leg,glida,ragla,stå,stiga
arm,ösa,snärta,rota,polera
leg,tassa,lunka,kliva,halka
arm,greppa,slunga,fånga,norpa
arm,linda,grabba,klicka,vira
leg,löpa,ränna,skutta,sparka
arm,bulta,skyffla,klippa,klösa
leg,trampa,traska,skrida,vanka
arm,fläta,kasta,piska,karva
arm,svabba,nypa,fila,borsta
leg,fly,tåga,stega,strutta
arm,repa,rycka,daska,dunka
arm,hacka,sno,knycka,slipa
leg,jogga,halta,marschera,rusa
