"type","word1","word2","word3","word4"
"arm","gnugga","klappa","slipa","fila"
"arm","slunga","tvätta","fläta","nypa"
"arm","skyffla","hiva","pilla","ösa"
"leg","rusa","kila","hoppa","stå"
"arm","daska","snärta","peta","polera"
"arm","sno","klicka","vika","kasta"
"leg","trippa","vandra","skynda","trampa"
"leg","tassa","svaja","ila","löpa"
"arm","signera","slå","skala","klippa"
"arm","torka","hacka","repa","plocka"
"arm","grabba","rycka","linda","skura"
"leg","vanka","promenera","vackla","stövla"
"leg","springa","fly","ränna","marschera"
"arm","piska","karva","vira","bulta"
"arm","banka","gripa","fånga","norpa"
"leg","snubbla","skejta","tåga","vingla"
"arm","putta","greppa","svabba","knycka"
"leg","knäa","kliva","traska","halka"
"arm","knacka","hissa","dunka","rota"
"leg","ragla","stiga","svassa","strutta"
"leg","jogga","flanera","gå","skutta"
"leg","vada","linka","pinna","snava"
"arm","rista","skrubba","borsta","klösa"
"leg","glida","stega","smyga","sparka"
"leg","stappla","halta","stampa","ströva"
"leg","cykla","lunka","knalla","skrida"
