"type","word1","word2","word3","word4"
"leg","tassa","trippa","knäa","vandra"
"arm","karva","repa","skala","hacka"
"leg","löpa","trampa","rusa","skutta"
"arm","snärta","rota","grabba","greppa"
"leg","jogga","svassa","traska","skynda"
"arm","daska","knacka","dunka","svabba"
"leg","gå","stövla","fly","cykla"
"arm","slunga","hiva","sno","vira"
"leg","strutta","vanka","svaja","vackla"
"arm","torka","fila","signera","knycka"
"leg","ila","snubbla","skrida","stappla"
"leg","lunka","stampa","tåga","hoppa"
"leg","knalla","stå","springa","ragla"
"arm","borsta","klippa","skyffla","hissa"
"arm","rista","pilla","bulta","nypa"
"arm","vika","rycka","slipa","fläta"
"leg","smyga","ströva","kliva","halka"
"arm","tvätta","linda","kasta","slå"
"leg","flanera","ränna","vada","halta"
"arm","gripa","klicka","skrubba","norpa"
"leg","stiga","linka","marschera","skejta"
"arm","putta","plocka","skura","ösa"
"arm","klösa","piska","gnugga","peta"
"leg","sparka","vingla","kila","stega"
"leg","glida","pinna","promenera","snava"
"arm","banka","fånga","klappa","polera"
