type,word1,word2,word3,word4
leg,svaja,ila,stå,vada
arm,banka,piska,hiva,hacka
leg,traska,pinna,kliva,ströva
arm,slå,sno,repa,fånga
leg,halka,fly,skejta,snava
arm,nypa,borsta,karva,svabba
leg,strutta,smyga,trippa,lunka
leg,skutta,tassa,promenera,sparka
arm,greppa,knycka,skura,linda
leg,skynda,linka,svassa,kila
leg,vingla,knäa,ragla,cykla
arm,grabba,knacka,hissa,rota
arm,putta,daska,rycka,ösa
leg,trampa,löpa,rusa,gå
arm,polera,gnugga,dunka,skrubba
arm,pilla,bulta,plocka,klappa
leg,springa,tåga,snubbla,glida
leg,marschera,ränna,stövla,stega
arm,vira,fila,signera,gripa
arm,rista,kasta,slipa,klicka
leg,vandra,flanera,stappla,vanka
arm,skyffla,norpa,tvätta,klippa
leg,skrida,vackla,hoppa,stiga
leg,jogga,knalla,stampa,halta
arm,torka,fläta,snärta,klösa
arm,skala,vika,slunga,peta
