"type","word1","word2","word3","word4"
"leg","stiga","pinna","skrida","hoppa"
"arm","hiva","skyffla","snärta","knacka"
"arm","putta","slunga","fläta","knycka"
"leg","löpa","tåga","traska","gå"
"arm","tvätta","skala","polera","repa"
"leg","lunka","skynda","ränna","trampa"
"arm","rota","hissa","bulta","slå"
"leg","ila","strutta","knalla","ragla"
"leg","promenera","tassa","springa","ströva"
"arm","ösa","sno","borsta","pilla"
"leg","knäa","svaja","stampa","glida"
"leg","vingla","jogga","sparka","fly"
"arm","fila","rycka","skrubba","signera"
"arm","daska","klappa","nypa","klösa"
"arm","hacka","plocka","greppa","vira"
"leg","svassa","vanka","linka","snubbla"
"arm","dunka","gnugga","kasta","banka"
"leg","kliva","kila","smyga","marschera"
"arm","peta","torka","fånga","vika"
"arm","grabba","linda","klicka","piska"
"leg","skutta","stövla","rusa","vackla"
"leg","trippa","stå","halta","vandra"
"arm","slipa","klippa","karva","gripa"
"leg","cykla","stappla","vada","skejta"
"leg","snava","flanera","halka","stega"
"arm","rista","norpa","skura","svabba"
