type,word1,word2,word3,word4
leg,skrida,vackla,hoppa,stiga
arm,skala,vika,slunga,peta
leg,skynda,linka,svassa,kila
leg,traska,pinna,kliva,ströva
leg,halka,fly,skejta,snava
arm,pilla,bulta,plocka,klappa
arm,banka,piska,hiva,hacka
leg,skutta,tassa,promenera,sparka
leg,marschera,ränna,stövla,stega
arm,polera,gnugga,dunka,skrubba
arm,nypa,borsta,karva,svabba
leg,vingla,knäa,ragla,cykla
arm,torka,fläta,snärta,klösa
arm,vira,fila,signera,gripa
arm,greppa,knycka,skura,linda
leg,springa,tåga,snubbla,glida
arm,putta,daska,rycka,ösa
arm,rista,kasta,slipa,klicka
arm,slå,sno,repa,fånga
leg,vandra,flanera,stappla,vanka
leg,svaja,ila,stå,vada
leg,strutta,smyga,trippa,lunka
arm,grabba,knacka,hissa,rota
leg,trampa,löpa,rusa,gå
leg,jogga,knalla,stampa,halta
arm,skyffla,norpa,tvätta,klippa
