type,word1,word2,word3,word4
leg,strutta,smyga,trippa,lunka
arm,slå,sno,repa,fånga
arm,banka,piska,hiva,hacka
leg,skrida,vackla,hoppa,stiga
arm,nypa,borsta,karva,svabba
arm,greppa,knycka,skura,linda
leg,svaja,ila,stå,vada
leg,jogga,knalla,stampa,halta
arm,rista,kasta,slipa,klicka
arm,skyffla,norpa,tvätta,klippa
leg,springa,tåga,snubbla,glida
leg,halka,fly,skejta,snava
arm,pilla,bulta,plocka,klappa
arm,vira,fila,signera,gripa
leg,marschera,ränna,stövla,stega
arm,grabba,knacka,hissa,rota
arm,torka,fläta,snärta,klösa
leg,vandra,flanera,stappla,vanka
arm,polera,gnugga,dunka,skrubba
leg,trampa,löpa,rusa,gå
leg,traska,pinna,kliva,ströva
arm,skala,vika,slunga,peta
leg,skynda,linka,svassa,kila
leg,skutta,tassa,promenera,sparka
arm,putta,daska,rycka,ösa
leg,vingla,knäa,ragla,cykla
