type,word1,word2,word3,word4
arm,repa,rycka,daska,dunka
arm,linda,grabba,klicka,vira
leg,trampa,traska,skrida,vanka
arm,tvätta,hiva,peta,rista
arm,knacka,gnugga,skrubba,skura
arm,fläta,kasta,piska,karva
leg,promenera,knalla,hoppa,cykla
arm,hacka,sno,knycka,slipa
leg,tassa,lunka,kliva,halka
leg,gå,knäa,pinna,linka
leg,svaja,vackla,flanera,kila
arm,skala,signera,hissa,plocka
leg,fly,tåga,stega,strutta
leg,glida,ragla,stå,stiga
arm,svabba,nypa,fila,borsta
arm,klappa,pilla,banka,putta
leg,vandra,stampa,skejta,ströva
leg,springa,stappla,stövla,svassa
leg,ila,snubbla,skynda,smyga
arm,ösa,snärta,rota,polera
arm,vika,gripa,slå,torka
arm,greppa,slunga,fånga,norpa
leg,jogga,halta,marschera,rusa
leg,löpa,ränna,skutta,sparka
leg,vada,trippa,vingla,snava
arm,bulta,skyffla,klippa,klösa
