"type","word1","word2","word3","word4"
"leg","skutta","pinna","svaja","vingla"
"leg","promenera","stega","traska","flanera"
"leg","stiga","knalla","stampa","springa"
"arm","norpa","slå","tvätta","daska"
"arm","grabba","torka","skrubba","klappa"
"leg","snubbla","cykla","sparka","tassa"
"leg","hoppa","tåga","trampa","halta"
"arm","snärta","klippa","skura","hiva"
"arm","rycka","svabba","piska","fläta"
"arm","linda","hacka","bulta","slunga"
"leg","kliva","vackla","lunka","marschera"
"arm","gnugga","polera","borsta","gripa"
"arm","fila","putta","ösa","knycka"
"leg","skrida","stappla","linka","fly"
"leg","jogga","vandra","glida","halka"
"arm","skyffla","peta","dunka","klicka"
"arm","slipa","sno","vika","karva"
"arm","rota","kasta","skala","repa"
"leg","rusa","trippa","strutta","ila"
"arm","signera","plocka","klösa","rista"
"leg","skejta","smyga","knäa","ragla"
"arm","greppa","hissa","banka","pilla"
"arm","fånga","vira","knacka","nypa"
"leg","gå","skynda","svassa","vada"
"leg","ränna","stå","löpa","snava"
"leg","stövla","vanka","ströva","kila"
