"type","word1","word2","word3","word4"
"arm","ösa","fläta","dunka","svabba"
"arm","polera","skyffla","bulta","slunga"
"arm","pilla","klappa","peta","gripa"
"leg","vandra","snubbla","skejta","ragla"
"leg","gå","vingla","kila","strutta"
"arm","sno","snärta","fånga","greppa"
"leg","stega","fly","hoppa","knäa"
"leg","pinna","stövla","vada","linka"
"leg","cykla","traska","svaja","tassa"
"arm","rota","grabba","klippa","hissa"
"leg","tåga","stå","glida","löpa"
"arm","klicka","tvätta","repa","knacka"
"arm","linda","knycka","slipa","piska"
"arm","klösa","slå","putta","signera"
"leg","stappla","lunka","skutta","flanera"
"arm","norpa","fila","hiva","vira"
"arm","borsta","daska","banka","nypa"
"leg","trippa","knalla","promenera","halka"
"arm","skura","rycka","torka","gnugga"
"leg","skynda","trampa","springa","vanka"
"leg","stampa","kliva","skrida","jogga"
"leg","smyga","rusa","snava","halta"
"arm","skala","plocka","rista","hacka"
"leg","stiga","ströva","ränna","marschera"
"arm","karva","skrubba","vika","kasta"
"leg","ila","vackla","svassa","sparka"
