"type","word1","word2","word3","word4"
"leg","skutta","traska","stå","linka"
"leg","trampa","skrida","vackla","pinna"
"arm","pilla","nypa","tvätta","vira"
"arm","slunga","fila","torka","plocka"
"leg","vanka","halta","vandra","lunka"
"arm","knycka","borsta","signera","slipa"
"arm","knacka","klösa","karva","linda"
"leg","ströva","springa","stappla","skynda"
"leg","kliva","snava","smyga","cykla"
"leg","ila","stampa","glida","promenera"
"arm","ösa","putta","rota","norpa"
"leg","fly","flanera","marschera","vingla"
"arm","skura","daska","peta","svabba"
"arm","klippa","sno","rista","polera"
"arm","gnugga","slå","kasta","rycka"
"leg","tåga","rusa","tassa","löpa"
"leg","snubbla","kila","jogga","ränna"
"leg","strutta","gå","sparka","vada"
"arm","greppa","hissa","snärta","klappa"
"leg","skejta","hoppa","stiga","stega"
"arm","hiva","fläta","banka","gripa"
"leg","knäa","svassa","knalla","trippa"
"arm","dunka","skyffla","fånga","klicka"
"leg","stövla","halka","svaja","ragla"
"arm","grabba","hacka","piska","skala"
"arm","bulta","repa","skrubba","vika"
