"type","word1","word2","word3","word4"
"leg","tåga","stå","lunka","halka"
"arm","klippa","putta","klappa","piska"
"arm","fila","slå","pilla","karva"
"leg","flanera","trampa","tassa","stövla"
"arm","peta","daska","skrubba","plocka"
"leg","kliva","halta","hoppa","stiga"
"leg","springa","stappla","stega","svassa"
"leg","snava","vada","vingla","knäa"
"arm","slipa","grabba","rista","bulta"
"arm","skyffla","ösa","rycka","norpa"
"arm","hissa","sno","torka","banka"
"leg","marschera","cykla","löpa","gå"
"arm","kasta","vika","knacka","skala"
"leg","vandra","skutta","stampa","ströva"
"arm","signera","skura","dunka","linda"
"leg","ragla","kila","vackla","glida"
"arm","fläta","knycka","fånga","klösa"
"arm","snärta","tvätta","repa","hiva"
"leg","rusa","skynda","fly","knalla"
"arm","gripa","greppa","polera","borsta"
"leg","ila","smyga","jogga","skrida"
"leg","promenera","sparka","linka","trippa"
"arm","rota","nypa","hacka","vira"
"leg","vanka","traska","snubbla","ränna"
"leg","strutta","pinna","skejta","svaja"
"arm","slunga","klicka","svabba","gnugga"
