type,word1,word2,word3,word4
arm,banka,piska,hiva,hacka
leg,jogga,knalla,stampa,halta
leg,vingla,knäa,ragla,cykla
arm,greppa,knycka,skura,linda
arm,putta,daska,rycka,ösa
leg,marschera,ränna,stövla,stega
leg,skutta,tassa,promenera,sparka
arm,grabba,knacka,hissa,rota
arm,skyffla,norpa,tvätta,klippa
leg,skrida,vackla,hoppa,stiga
leg,trampa,löpa,rusa,gå
leg,strutta,smyga,trippa,lunka
arm,torka,fläta,snärta,klösa
arm,vira,fila,signera,gripa
leg,traska,pinna,kliva,ströva
leg,halka,fly,skejta,snava
leg,springa,tåga,snubbla,glida
arm,skala,vika,slunga,peta
arm,nypa,borsta,karva,svabba
leg,skynda,linka,svassa,kila
leg,svaja,ila,stå,vada
arm,pilla,bulta,plocka,klappa
arm,rista,kasta,slipa,klicka
arm,slå,sno,repa,fånga
leg,vandra,flanera,stappla,vanka
arm,polera,gnugga,dunka,skrubba
