type,word1,word2,word3,word4
arm,nypa,borsta,karva,svabba
leg,springa,tåga,snubbla,glida
leg,traska,pinna,kliva,ströva
arm,rista,kasta,slipa,klicka
leg,strutta,smyga,trippa,lunka
arm,banka,piska,hiva,hacka
leg,skutta,tassa,promenera,sparka
leg,marschera,ränna,stövla,stega
arm,pilla,bulta,plocka,klappa
arm,grabba,knacka,hissa,rota
leg,svaja,ila,stå,vada
arm,greppa,knycka,skura,linda
arm,polera,gnugga,dunka,skrubba
leg,skynda,linka,svassa,kila
arm,skyffla,norpa,tvätta,klippa
leg,halka,fly,skejta,snava
arm,torka,fläta,snärta,klösa
leg,skrida,vackla,hoppa,stiga
arm,putta,daska,rycka,ösa
leg,trampa,löpa,rusa,gå
leg,vingla,knäa,ragla,cykla
arm,skala,vika,slunga,peta
leg,vandra,flanera,stappla,vanka
arm,vira,fila,signera,gripa
arm,slå,sno,repa,fånga
leg,jogga,knalla,stampa,halta
