"type","word1","word2","word3","word4"
"arm","peta","klippa","fånga","piska"
"leg","skutta","knalla","vackla","ila"
"arm","fila","snärta","gnugga","plocka"
"leg","tåga","cykla","promenera","pinna"
"arm","skura","nypa","rycka","knacka"
"arm","norpa","borsta","polera","greppa"
"arm","signera","hissa","hiva","bulta"
"leg","snava","halta","rusa","trippa"
"leg","stappla","marschera","stövla","snubbla"
"leg","traska","smyga","springa","sparka"
"arm","rota","slå","dunka","putta"
"leg","fly","gå","jogga","stampa"
"leg","lunka","linka","ränna","stå"
"arm","ösa","tvätta","fläta","knycka"
"arm","torka","banka","skyffla","daska"
"arm","hacka","karva","skala","sno"
"leg","kila","halka","stega","kliva"
"arm","klappa","skrubba","klicka","linda"
"leg","svaja","stiga","vandra","flanera"
"arm","vira","slipa","gripa","klösa"
"leg","tassa","vada","knäa","svassa"
"leg","glida","strutta","hoppa","vingla"
"leg","skrida","vanka","löpa","skejta"
"arm","repa","svabba","rista","pilla"
"leg","skynda","ströva","ragla","trampa"
"arm","slunga","vika","grabba","kasta"
