type,word1,word2,word3,word4
arm,repa,norpa,borsta,karva
arm,rota,bulta,ösa,slipa
arm,knycka,hissa,tvätta,slå
leg,snava,strutta,stega,ränna
arm,gripa,dunka,banka,grabba
leg,kliva,tåga,halka,skynda
arm,polera,rista,piska,klippa
leg,gå,ströva,sparka,knäa
leg,promenera,ila,vanka,stiga
leg,traska,snubbla,vingla,vackla
arm,klösa,hacka,fånga,knacka
leg,trampa,jogga,lunka,rusa
arm,klappa,skala,slunga,klicka
leg,stappla,glida,kila,stampa
arm,linda,nypa,pilla,putta
arm,peta,svabba,fila,snärta
leg,stövla,springa,svaja,skutta
arm,vira,gnugga,torka,rycka
arm,skura,signera,vika,daska
leg,fly,pinna,vandra,svassa
leg,ragla,flanera,marschera,löpa
leg,vada,trippa,stå,linka
arm,sno,greppa,plocka,hiva
arm,kasta,skrubba,fläta,skyffla
leg,tassa,halta,cykla,skejta
leg,smyga,hoppa,knalla,skrida
