"type","word1","word2","word3","word4"
"arm","klicka","polera","gripa","skala"
"leg","svaja","sparka","skrida","springa"
"arm","bulta","vika","svabba","linda"
"leg","stiga","löpa","ila","skutta"
"arm","piska","plocka","gnugga","snärta"
"arm","slipa","daska","fånga","ösa"
"leg","svassa","knalla","vada","lunka"
"leg","linka","hoppa","snava","kliva"
"arm","rota","klösa","sno","repa"
"leg","fly","halka","trippa","pinna"
"arm","slå","slunga","hissa","signera"
"leg","strutta","cykla","vackla","tåga"
"leg","skejta","halta","vingla","ränna"
"arm","skrubba","pilla","norpa","skura"
"leg","tassa","flanera","knäa","jogga"
"leg","skynda","trampa","smyga","traska"
"arm","rista","borsta","greppa","banka"
"arm","rycka","fläta","torka","grabba"
"leg","snubbla","stövla","glida","stega"
"leg","stampa","gå","rusa","stå"
"arm","peta","hiva","dunka","kasta"
"arm","knacka","klippa","hacka","skyffla"
"leg","ragla","vandra","kila","stappla"
"leg","marschera","ströva","vanka","promenera"
"arm","klappa","knycka","tvätta","vira"
"arm","putta","karva","fila","nypa"
