"type","word1","word2","word3","word4"
"leg","tåga","halta","vanka","glida"
"arm","hacka","svabba","rota","ösa"
"arm","gripa","skyffla","putta","rista"
"leg","hoppa","vandra","cykla","stappla"
"arm","grabba","greppa","vira","gnugga"
"leg","skutta","lunka","snubbla","ströva"
"leg","kila","strutta","löpa","skynda"
"arm","torka","skala","vika","peta"
"arm","daska","hissa","nypa","polera"
"arm","plocka","norpa","tvätta","slunga"
"leg","trippa","stiga","linka","smyga"
"leg","tassa","jogga","vackla","snava"
"arm","signera","skrubba","slipa","kasta"
"leg","stövla","ragla","stampa","stega"
"arm","rycka","klippa","dunka","fläta"
"arm","repa","fånga","fila","borsta"
"leg","promenera","skrida","kliva","skejta"
"arm","pilla","knycka","snärta","karva"
"arm","hiva","skura","klicka","banka"
"leg","vada","stå","sparka","pinna"
"leg","svaja","ila","rusa","gå"
"arm","knacka","slå","klösa","piska"
"leg","ränna","fly","vingla","halka"
"leg","marschera","flanera","trampa","svassa"
"leg","knäa","traska","knalla","springa"
"arm","bulta","sno","klappa","linda"
