type,word1,word2,word3,word4
arm,knacka,gnugga,skrubba,skura
arm,skala,signera,hissa,plocka
leg,vandra,stampa,skejta,ströva
arm,svabba,nypa,fila,borsta
leg,löpa,ränna,skutta,sparka
leg,gå,knäa,pinna,linka
leg,promenera,knalla,hoppa,cykla
arm,greppa,slunga,fånga,norpa
leg,jogga,halta,marschera,rusa
leg,ila,snubbla,skynda,smyga
arm,tvätta,hiva,peta,rista
arm,ösa,snärta,rota,polera
arm,linda,grabba,klicka,vira
leg,svaja,vackla,flanera,kila
arm,vika,gripa,slå,torka
leg,vada,trippa,vingla,snava
leg,fly,tåga,stega,strutta
arm,hacka,sno,knycka,slipa
leg,springa,stappla,stövla,svassa
arm,klappa,pilla,banka,putta
leg,trampa,traska,skrida,vanka
arm,bulta,skyffla,klippa,klösa
arm,fläta,kasta,piska,karva
arm,repa,rycka,daska,dunka
leg,glida,ragla,stå,stiga
leg,tassa,lunka,kliva,halka
