"type","word1","word2","word3","word4"
"arm","torka","borsta","norpa","piska"
"leg","skynda","halta","trampa","snava"
"arm","skrubba","hacka","rota","fila"
"leg","skrida","stå","traska","cykla"
"arm","sno","linda","tvätta","plocka"
"leg","ragla","jogga","pinna","trippa"
"arm","bulta","skyffla","snärta","knacka"
"leg","vingla","glida","hoppa","vandra"
"arm","gnugga","rista","hiva","slipa"
"leg","stampa","tassa","ränna","ströva"
"leg","stappla","kila","knäa","vackla"
"leg","knalla","tåga","vanka","svassa"
"arm","peta","putta","klappa","polera"
"leg","svaja","löpa","strutta","promenera"
"leg","fly","marschera","skejta","halka"
"arm","svabba","klösa","skala","gripa"
"arm","fånga","banka","knycka","vira"
"leg","gå","kliva","ila","springa"
"arm","hissa","nypa","vika","slå"
"arm","rycka","slunga","pilla","repa"
"arm","grabba","skura","signera","ösa"
"leg","stiga","flanera","stövla","vada"
"arm","greppa","klippa","karva","kasta"
"arm","daska","dunka","fläta","klicka"
"leg","snubbla","skutta","sparka","rusa"
"leg","linka","stega","lunka","smyga"
