item_number_,item,correct_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.corr,key_resp_8.rt,date,frameRate,expName,session,participant,
0,platery,n,0,0,0,0,y,0,5.80295952464,2018_Sep_07_1327,59.6128498882,lextale,001,800,
0,denial,y,0,1,1,1,y,1,1.79477523631,2018_Sep_07_1327,59.6128498882,lextale,001,800,
0,generic,y,0,2,2,2,y,1,1.27486154392,2018_Sep_07_1327,59.6128498882,lextale,001,800,
1,mensible,n,0,3,3,3,y,0,11.1697230325,2018_Sep_07_1327,59.6128498882,lextale,001,800,
2,scornful,y,0,4,4,4,y,1,2.02958339309,2018_Sep_07_1327,59.6128498882,lextale,001,800,
3,stoutly,y,0,5,5,5,n,0,8.97284376164,2018_Sep_07_1327,59.6128498882,lextale,001,800,
4,ablaze,y,0,6,6,6,n,0,3.22028750503,2018_Sep_07_1327,59.6128498882,lextale,001,800,
5,kermshaw,n,0,7,7,7,y,0,8.38571175137,2018_Sep_07_1327,59.6128498882,lextale,001,800,
6,moonlit,y,0,8,8,8,y,1,1.27494649236,2018_Sep_07_1327,59.6128498882,lextale,001,800,
7,lofty,y,0,9,9,9,y,1,1.45945213392,2018_Sep_07_1327,59.6128498882,lextale,001,800,
8,hurricane,y,0,10,10,10,y,1,0.989901803554,2018_Sep_07_1327,59.6128498882,lextale,001,800,
9,flaw,y,0,11,11,11,y,1,0.973053564536,2018_Sep_07_1327,59.6128498882,lextale,001,800,
10,alberation,n,0,12,12,12,y,0,1.8784952826,2018_Sep_07_1327,59.6128498882,lextale,001,800,
11,unkempt,y,0,13,13,13,n,0,2.06308271173,2018_Sep_07_1327,59.6128498882,lextale,001,800,
12,breeding,y,0,14,14,14,y,1,1.05695140989,2018_Sep_07_1327,59.6128498882,lextale,001,800,
13,festivity,y,0,15,15,15,y,1,0.989345885158,2018_Sep_07_1327,59.6128498882,lextale,001,800,
14,screech,y,0,16,16,16,n,0,1.96252706991,2018_Sep_07_1327,59.6128498882,lextale,001,800,
15,savoury,y,0,17,17,17,y,1,2.48243325522,2018_Sep_07_1327,59.6128498882,lextale,001,800,
16,plaudate,n,0,18,18,18,n,1,2.58311967813,2018_Sep_07_1327,59.6128498882,lextale,001,800,
17,shin,y,0,19,19,19,n,0,5.11557294562,2018_Sep_07_1327,59.6128498882,lextale,001,800,
18,fluid,y,0,20,20,20,y,1,0.973017609613,2018_Sep_07_1327,59.6128498882,lextale,001,800,
19,spaunch,n,0,21,21,21,n,1,11.2536291752,2018_Sep_07_1327,59.6128498882,lextale,001,800,
20,allied,y,0,22,22,22,y,1,0.922659779126,2018_Sep_07_1327,59.6128498882,lextale,001,800,
21,slain,y,0,23,23,23,y,1,1.24148747484,2018_Sep_07_1327,59.6128498882,lextale,001,800,
22,recipient,y,0,24,24,24,y,1,1.17429879014,2018_Sep_07_1327,59.6128498882,lextale,001,800,
23,exprate,n,0,25,25,25,n,1,1.71100896226,2018_Sep_07_1327,59.6128498882,lextale,001,800,
24,eloquence,y,0,26,26,26,y,1,1.71086277192,2018_Sep_07_1327,59.6128498882,lextale,001,800,
25,cleanliness,y,0,27,27,27,y,1,4.4781155038,2018_Sep_07_1327,59.6128498882,lextale,001,800,
26,dispatch,y,0,28,28,28,y,1,1.04011739479,2018_Sep_07_1327,59.6128498882,lextale,001,800,
27,rebondicate,n,0,29,29,29,y,0,2.21402463189,2018_Sep_07_1327,59.6128498882,lextale,001,800,
28,ingenious,y,0,30,30,30,y,1,1.05683327229,2018_Sep_07_1327,59.6128498882,lextale,001,800,
29,bewitch,y,0,31,31,31,y,1,1.61179234492,2018_Sep_07_1327,59.6128498882,lextale,001,800,
30,skave,n,0,32,32,32,n,1,1.2580350359,2018_Sep_07_1327,59.6128498882,lextale,001,800,
31,plaintively,y,0,33,33,33,n,0,11.0858856389,2018_Sep_07_1327,59.6128498882,lextale,001,800,
32,kilp,n,0,34,34,34,n,1,1.25812116967,2018_Sep_07_1327,59.6128498882,lextale,001,800,
