"type","word1","word2","word3","word4"
"leg","tramp","stroll","wade","skate"
"arm","peel","wipe","carve","snatch"
"arm","grip","pluck","scrape","stab"
"leg","hop","trip","rush","sneak"
"arm","dig","hug","polish","scratch"
"leg","bounce","leap","squat","stomp"
"arm","fold","scoop","pat","wrap"
"arm","punch","squeeze","whip","scrub"
"leg","run","stray","glide","slide"
"leg","pedal","step","march","skip"
"arm","throw","push","gesture","grab"
"arm","rub","knock","poke","chop"
"leg","stand","dance","wander","cycle"
"arm","pinch","pull","clap","bind"
"leg","slip","jog","trample","tiptoe"
"leg","trek","stride","strut","stumble"
"arm","shake","clean","dunk","catch"
"arm","sign","slap","click","brush"
"leg","hike","kneel","walk","kick"
"leg","flee","jump","limp","sprint"
