"type","word1","word2","word3","word4"
"leg","stumble","trip","tramp","squat"
"leg","sprint","bounce","skate","wade"
"arm","pull","wrap","pinch","hug"
"leg","pedal","stand","stomp","strut"
"arm","pluck","brush","scrape","scrub"
"arm","pat","sign","snatch","shake"
"leg","stride","rush","jog","limp"
"arm","chop","slap","click","polish"
"leg","trample","kneel","step","slip"
"leg","trek","dance","skip","wander"
"arm","scratch","poke","squeeze","clap"
"arm","grab","wipe","catch","push"
"leg","kick","hike","tiptoe","glide"
"leg","stray","hop","slide","run"
"arm","bind","throw","gesture","fold"
"arm","scoop","knock","clean","carve"
"arm","grip","rub","whip","punch"
"leg","sneak","flee","stroll","cycle"
"arm","peel","dig","stab","dunk"
"leg","march","leap","walk","jump"
