"type","word1","word2","word3","word4"
"arm","pinch","pat","throw","stab"
"arm","punch","pluck","pull","bind"
"arm","squeeze","push","fold","whip"
"leg","sprint","stand","strut","skate"
"leg","stumble","wander","sneak","stomp"
"arm","hug","rub","dunk","polish"
"leg","limp","march","rush","trample"
"arm","wrap","peel","gesture","snatch"
"leg","jog","tiptoe","wade","stride"
"leg","trip","leap","step","cycle"
"arm","sign","brush","dig","wipe"
"leg","squat","hop","dance","slide"
"leg","skip","flee","jump","trek"
"leg","glide","hike","slip","kick"
"arm","grip","scrape","chop","poke"
"leg","stray","run","stroll","walk"
"leg","bounce","tramp","kneel","pedal"
"arm","clean","knock","click","scrub"
"arm","shake","clap","slap","scoop"
"arm","grab","carve","scratch","catch"
