"type","word1","word2","word3","word4"
"leg","rush","skip","walk","run"
"leg","trample","slide","stray","trek"
"arm","pat","scrub","scratch","scoop"
"leg","strut","jog","kneel","wander"
"arm","gesture","knock","grip","brush"
"arm","fold","polish","bind","stab"
"leg","flee","sneak","slip","squat"
"leg","tiptoe","march","pedal","glide"
"arm","clean","pinch","dig","pull"
"arm","punch","squeeze","chop","scrape"
"leg","leap","jump","skate","dance"
"arm","peel","snatch","poke","dunk"
"leg","bounce","trip","hike","stroll"
"leg","kick","stumble","stride","tramp"
"arm","grab","slap","wrap","pluck"
"arm","whip","carve","shake","sign"
"leg","step","stomp","cycle","sprint"
"arm","click","rub","push","wipe"
"arm","throw","hug","clap","catch"
"leg","stand","limp","wade","hop"
