"type","word1","word2","word3","word4"
"leg","limp","glide","pedal","kick"
"arm","chop","scratch","pull","poke"
"arm","clap","dig","grab","carve"
"arm","fold","snatch","knock","whip"
"leg","hop","stride","trample","skip"
"arm","punch","pat","dunk","scoop"
"leg","trek","stumble","wander","wade"
"leg","stroll","sneak","kneel","strut"
"arm","pinch","shake","bind","push"
"arm","wipe","throw","hug","squeeze"
"arm","polish","wrap","sign","peel"
"leg","sprint","slide","stand","leap"
"arm","clean","grip","brush","gesture"
"arm","click","pluck","slap","scrape"
"leg","march","bounce","trip","step"
"leg","tiptoe","tramp","rush","stray"
"arm","scrub","stab","rub","catch"
"leg","jump","dance","squat","jog"
"leg","slip","run","cycle","skate"
"leg","hike","stomp","flee","walk"
