"type","word1","word2","word3","word4"
"leg","stumble","stride","trek","sprint"
"arm","poke","punch","chop","gesture"
"leg","stray","wade","skate","stomp"
"arm","stab","catch","hug","pull"
"arm","knock","bind","push","whip"
"leg","glide","trample","hike","sneak"
"arm","wrap","wipe","scratch","clean"
"arm","scoop","sign","pinch","pluck"
"leg","step","skip","rush","pedal"
"leg","kick","stroll","flee","slide"
"arm","throw","polish","scrub","rub"
"leg","run","jog","wander","trip"
"arm","squeeze","carve","dig","grip"
"leg","limp","tiptoe","strut","march"
"arm","pat","dunk","slap","clap"
"leg","kneel","hop","slip","dance"
"leg","tramp","cycle","walk","bounce"
"arm","shake","scrape","grab","snatch"
"leg","leap","stand","squat","jump"
"arm","fold","click","peel","brush"
