"type","word1","word2","word3","word4"
"arm","shake","stab","chop","wrap"
"leg","wade","sprint","kick","pedal"
"arm","scrape","gesture","clean","catch"
"leg","skip","stride","cycle","slip"
"arm","whip","snatch","brush","throw"
"arm","slap","punch","pat","grab"
"leg","stumble","kneel","dance","strut"
"leg","tramp","sneak","jog","flee"
"arm","hug","clap","wipe","knock"
"leg","stray","rush","march","hop"
"leg","stand","wander","run","walk"
"leg","bounce","slide","leap","trek"
"arm","carve","scrub","squeeze","polish"
"arm","click","pluck","pinch","pull"
"leg","jump","squat","trample","glide"
"arm","rub","grip","push","scratch"
"arm","sign","dunk","poke","fold"
"leg","skate","step","limp","tiptoe"
"leg","hike","trip","stroll","stomp"
"arm","bind","peel","dig","scoop"
