"type","word1","word2","word3","word4"
"leg","walk","stroll","kneel","stray"
"arm","carve","polish","wipe","clap"
"arm","scoop","dig","hug","push"
"leg","kick","wade","slip","flee"
"leg","dance","glide","march","trample"
"arm","grip","chop","scratch","scrape"
"arm","rub","fold","poke","pluck"
"leg","stride","step","slide","skate"
"arm","pinch","sign","knock","catch"
"leg","stand","trip","limp","run"
"arm","clean","snatch","pat","grab"
"arm","squeeze","slap","whip","scrub"
"leg","jog","tiptoe","trek","squat"
"leg","jump","wander","stumble","rush"
"arm","click","gesture","dunk","brush"
"leg","tramp","stomp","strut","sneak"
"leg","pedal","hop","hike","sprint"
"arm","throw","stab","wrap","peel"
"leg","bounce","cycle","skip","leap"
"arm","bind","punch","pull","shake"
