"type","word1","word2","word3","word4"
"arm","carve","rub","stab","gesture"
"arm","dig","bind","whip","hug"
"leg","jog","cycle","slip","sprint"
"leg","skate","hop","limp","jump"
"arm","pinch","pluck","slap","grip"
"leg","squat","walk","wade","stroll"
"leg","wander","stumble","kick","run"
"leg","tramp","stomp","stray","stand"
"arm","scoop","sign","punch","brush"
"leg","strut","dance","glide","trample"
"arm","polish","knock","fold","snatch"
"arm","scrape","dunk","catch","wipe"
"arm","peel","push","pull","shake"
"leg","slide","march","trek","sneak"
"arm","squeeze","wrap","grab","scratch"
"arm","click","clean","pat","clap"
"leg","stride","flee","skip","bounce"
"leg","step","hike","trip","rush"
"leg","pedal","tiptoe","leap","kneel"
"arm","throw","scrub","poke","chop"
