"type","word1","word2","word3","word4"
"leg","sprint","jog","tiptoe","dance"
"arm","pat","squeeze","punch","snatch"
"leg","skip","pedal","limp","stray"
"arm","click","clean","grip","brush"
"leg","sneak","trample","stand","kneel"
"arm","chop","pinch","peel","push"
"arm","whip","scrub","shake","sign"
"leg","kick","walk","wander","march"
"leg","flee","run","jump","tramp"
"arm","slap","pluck","throw","polish"
"arm","wrap","hug","knock","gesture"
"arm","fold","carve","grab","scoop"
"leg","slip","trek","bounce","step"
"leg","wade","slide","stroll","trip"
"arm","wipe","clap","dig","bind"
"arm","dunk","scrape","stab","rub"
"leg","strut","cycle","rush","hike"
"leg","hop","stumble","skate","squat"
"arm","scratch","pull","catch","poke"
"leg","glide","stride","stomp","leap"
