"type","word1","word2","word3","word4"
"arm","grip","gesture","carve","slap"
"leg","flee","glide","wade","stand"
"arm","push","pluck","dunk","chop"
"arm","scratch","grab","squeeze","throw"
"leg","step","hike","tramp","stomp"
"leg","walk","skate","strut","squat"
"arm","clean","rub","poke","knock"
"leg","slip","wander","slide","skip"
"arm","punch","whip","hug","dig"
"leg","march","stumble","cycle","sprint"
"leg","hop","kick","rush","jump"
"leg","stride","leap","limp","run"
"arm","stab","fold","peel","brush"
"arm","scrub","pat","clap","scoop"
"leg","trek","trample","dance","pedal"
"leg","trip","jog","kneel","stray"
"arm","wipe","sign","click","scrape"
"arm","shake","pull","snatch","catch"
"leg","stroll","tiptoe","bounce","sneak"
"arm","polish","wrap","bind","pinch"
