"type","word1","word2","word3","word4"
"arm","catch","wipe","click","whip"
"leg","pedal","cycle","stroll","slide"
"arm","grip","slap","chop","shake"
"leg","skate","step","jog","stand"
"arm","gesture","clean","knock","push"
"arm","scratch","rub","snatch","pat"
"leg","march","dance","tramp","wander"
"leg","stray","glide","squat","jump"
"arm","scoop","stab","dunk","polish"
"arm","poke","pinch","throw","dig"
"leg","walk","run","trek","hop"
"leg","tiptoe","strut","stride","limp"
"arm","peel","wrap","grab","pluck"
"arm","hug","carve","bind","fold"
"leg","stumble","flee","bounce","skip"
"arm","pull","scrape","scrub","clap"
"leg","wade","slip","sprint","kneel"
"leg","sneak","trample","hike","trip"
"leg","kick","leap","stomp","rush"
"arm","brush","punch","sign","squeeze"
