"type","word1","word2","word3","word4"
"arm","wipe","wrap","chop","snatch"
"arm","catch","clean","knock","throw"
"arm","click","slap","pinch","grab"
"leg","hike","kick","bounce","glide"
"leg","rush","wade","pedal","stomp"
"leg","skate","run","jump","sprint"
"arm","shake","scratch","scrape","clap"
"leg","stride","slide","slip","stumble"
"leg","limp","strut","trek","trample"
"arm","pat","bind","grip","sign"
"arm","brush","poke","scoop","rub"
"arm","polish","dunk","pull","dig"
"leg","leap","wander","stroll","jog"
"arm","hug","punch","whip","carve"
"arm","gesture","push","fold","stab"
"leg","squat","hop","cycle","flee"
"arm","squeeze","peel","scrub","pluck"
"leg","tramp","tiptoe","march","walk"
"leg","stand","trip","skip","dance"
"leg","stray","kneel","sneak","step"
