"type","word1","word2","word3","word4"
"leg","wander","limp","wade","walk"
"arm","dig","catch","scoop","push"
"leg","kneel","cycle","skate","bounce"
"leg","run","march","hop","sprint"
"arm","click","whip","pull","gesture"
"leg","kick","stand","slide","tramp"
"leg","stumble","stomp","stroll","tiptoe"
"arm","slap","grab","clean","dunk"
"arm","pat","peel","hug","pluck"
"leg","hike","slip","strut","stray"
"arm","rub","bind","scratch","grip"
"leg","trek","flee","pedal","glide"
"leg","sneak","squat","dance","jog"
"arm","brush","throw","shake","carve"
"arm","polish","snatch","chop","punch"
"leg","rush","skip","trip","leap"
"arm","clap","squeeze","stab","wrap"
"arm","scrape","scrub","pinch","wipe"
"leg","trample","step","jump","stride"
"arm","poke","knock","sign","fold"
