"type","word1","word2","word3","word4"
"leg","cycle","stride","pedal","skip"
"leg","trek","jog","strut","limp"
"leg","trample","leap","stroll","wander"
"arm","scrub","rub","punch","pat"
"leg","skate","trip","kneel","stomp"
"leg","step","slip","slide","march"
"arm","grab","polish","clap","wrap"
"arm","gesture","scoop","wipe","dunk"
"arm","shake","fold","pluck","slap"
"leg","flee","tramp","glide","sneak"
"arm","throw","stab","brush","pinch"
"arm","whip","pull","knock","bind"
"leg","run","stumble","stand","squat"
"arm","poke","hug","clean","carve"
"leg","wade","hop","kick","bounce"
"arm","peel","snatch","sign","grip"
"arm","scratch","click","chop","catch"
"leg","sprint","walk","dance","tiptoe"
"arm","squeeze","dig","push","scrape"
"leg","jump","stray","rush","hike"
