"type","word1","word2","word3","word4"
"leg","slip","step","wade","sprint"
"leg","creep","kneel","flit","roam"
"leg","skate","sway","inch","tiptoe"
"arm","clap","wipe","dig","poke"
"leg","leap","hop","skip","stride"
"leg","traipse","trip","flee","ramble"
"leg","rush","bounce","wobble","trek"
"arm","rub","pull","claw","peel"
"arm","pat","snatch","throw","braid"
"leg","sneak","trot","slide","pace"
"leg","trudge","crawl","stagger","jump"
"arm","twine","scratch","stab","scrub"
"arm","grip","hack","fold","scoop"
"arm","catch","stir","punch","delve"
"leg","limp","mount","prance","walk"
"arm","polish","chop","switch","grasp"
"arm","wash","squeeze","carve","nip"
"leg","wander","stray","dance","climb"
"arm","tug","scrape","grab","skim"
"arm","push","bash","clean","knock"
"arm","wrap","click","brush","shake"
"leg","plod","hike","stumble","kick"
"leg","stomp","stroll","slither","strut"
"arm","grate","seize","slap","pinch"
"arm","lift","whip","cut","dunk"
"arm","toss","bind","clutch","file"
"leg","run","stamp","tread","glide"
"leg","roll","jog","scuff","march"
