"type","word1","word2","word3","word4"
"leg","trot","limp","sneak","trip"
"leg","hike","step","stray","wade"
"arm","scrub","pat","file","clap"
"leg","traipse","ramble","bounce","climb"
"arm","push","polish","stab","wrap"
"leg","plod","sway","run","wobble"
"arm","pinch","pull","snatch","skim"
"arm","dunk","tug","scoop","fold"
"leg","slither","trudge","stamp","flit"
"arm","hack","squeeze","twine","dig"
"arm","switch","shake","lift","whip"
"leg","rush","pace","stagger","creep"
"leg","skate","scuff","prance","stumble"
"leg","stomp","mount","flee","slip"
"arm","catch","braid","bash","grasp"
"arm","cut","bind","punch","nip"
"leg","skip","sprint","slide","glide"
"leg","trek","tiptoe","roll","dance"
"arm","stir","grab","seize","peel"
"arm","toss","wash","rub","slap"
"leg","kneel","crawl","jog","jump"
"arm","claw","knock","grate","wipe"
"leg","stride","leap","wander","walk"
"arm","carve","throw","scrape","delve"
"leg","stroll","march","strut","inch"
"arm","clutch","clean","scratch","brush"
"arm","click","grip","poke","chop"
"leg","roam","tread","kick","hop"
