"type","word1","word2","word3","word4"
"arm","twine","slap","rub","dunk"
"leg","stomp","stride","crawl","trip"
"leg","sneak","trudge","wobble","stamp"
"arm","switch","wash","stab","throw"
"leg","flit","stray","flee","glide"
"arm","wrap","file","pull","wipe"
"leg","skip","climb","tiptoe","roll"
"arm","peel","polish","brush","tug"
"leg","ramble","hike","skate","kick"
"arm","toss","catch","seize","pat"
"leg","slither","strut","stumble","scuff"
"leg","dance","slip","prance","wade"
"arm","grate","hack","fold","braid"
"arm","chop","scrape","skim","cut"
"arm","scratch","whip","squeeze","push"
"leg","wander","mount","creep","roam"
"leg","bounce","slide","trek","pace"
"leg","stagger","march","sway","walk"
"arm","grip","bash","grab","dig"
"leg","sprint","run","trot","stroll"
"leg","rush","leap","inch","step"
"arm","lift","punch","scrub","stir"
"arm","delve","clean","nip","knock"
"arm","click","scoop","shake","poke"
"leg","tread","kneel","plod","jog"
"arm","clutch","clap","pinch","carve"
"arm","grasp","bind","snatch","claw"
"leg","hop","traipse","jump","limp"
