"type","word1","word2","word3","word4"
"leg","limp","slither","sprint","slide"
"leg","stamp","tiptoe","jog","walk"
"arm","switch","fold","bind","clap"
"arm","pinch","wash","clutch","rub"
"arm","clean","toss","delve","scoop"
"leg","roam","kneel","trek","wade"
"leg","ramble","prance","plod","stride"
"arm","seize","twine","click","wipe"
"arm","pull","knock","shake","throw"
"leg","flit","skip","trip","inch"
"leg","sneak","slip","sway","climb"
"leg","jump","step","strut","wander"
"arm","lift","wrap","squeeze","scrub"
"leg","hike","stroll","roll","stomp"
"arm","whip","peel","poke","grasp"
"leg","skate","run","kick","rush"
"leg","stray","glide","pace","trudge"
"arm","claw","polish","stir","push"
"arm","braid","dunk","carve","file"
"leg","hop","dance","scuff","traipse"
"arm","grab","cut","punch","nip"
"arm","grip","pat","stab","scrape"
"arm","snatch","scratch","skim","dig"
"leg","creep","wobble","march","mount"
"arm","hack","bash","chop","grate"
"arm","slap","brush","catch","tug"
"leg","tread","bounce","leap","crawl"
"leg","flee","trot","stagger","stumble"
