"type","word1","word2","word3","word4"
"leg","trot","run","climb","jump"
"leg","stagger","trudge","traipse","bounce"
"arm","throw","chop","wrap","braid"
"arm","bind","lift","carve","pinch"
"arm","poke","grip","punch","claw"
"leg","hike","roam","march","roll"
"leg","hop","stride","rush","wobble"
"arm","scrape","squeeze","grab","polish"
"arm","twine","clutch","tug","toss"
"leg","stumble","scuff","limp","trek"
"leg","skate","tread","wander","flee"
"arm","click","knock","wash","switch"
"arm","bash","fold","peel","hack"
"leg","trip","stray","sprint","skip"
"arm","file","grasp","wipe","snatch"
"leg","slide","step","kick","mount"
"leg","ramble","crawl","leap","flit"
"arm","scratch","pull","delve","scrub"
"arm","whip","shake","pat","skim"
"arm","nip","slap","seize","catch"
"leg","prance","plod","dance","stamp"
"leg","strut","jog","slither","sway"
"leg","stomp","creep","walk","pace"
"arm","stab","rub","push","cut"
"leg","slip","glide","tiptoe","wade"
"arm","dunk","dig","clap","scoop"
"arm","stir","clean","brush","grate"
"leg","sneak","kneel","stroll","inch"
