"type","word1","word2","word3","word4"
"arm","tug","fold","rub","shake"
"leg","wander","roll","trudge","pace"
"arm","throw","bind","whip","push"
"leg","trot","slide","walk","stomp"
"leg","wobble","scuff","trek","sway"
"arm","scratch","pinch","squeeze","dig"
"arm","braid","clap","seize","wipe"
"leg","bounce","rush","stray","stroll"
"leg","inch","stride","kick","tiptoe"
"leg","wade","stamp","trip","slither"
"arm","stab","clutch","cut","carve"
"arm","dunk","peel","grate","lift"
"arm","pull","nip","wash","switch"
"leg","flit","stumble","ramble","jog"
"arm","scrub","poke","hack","brush"
"arm","snatch","bash","pat","scoop"
"leg","hop","crawl","slip","sneak"
"arm","polish","punch","claw","grasp"
"leg","skate","traipse","flee","kneel"
"leg","dance","jump","skip","limp"
"arm","clean","delve","skim","slap"
"arm","catch","knock","twine","toss"
"arm","wrap","grab","click","stir"
"leg","tread","roam","prance","climb"
"arm","file","scrape","chop","grip"
"leg","mount","leap","sprint","strut"
"leg","glide","creep","march","run"
"leg","plod","hike","stagger","step"
