"type","word1","word2","word3","word4"
"arm","grab","pull","clean","fold"
"arm","tug","hack","punch","brush"
"leg","roam","flit","stagger","dance"
"leg","strut","traipse","run","hike"
"leg","inch","slip","trek","sprint"
"arm","poke","toss","delve","nip"
"leg","mount","rush","pace","trudge"
"leg","stride","roll","trip","walk"
"leg","limp","stamp","leap","prance"
"arm","file","pinch","bind","cut"
"leg","climb","sneak","slide","skate"
"arm","clutch","lift","claw","grate"
"arm","clap","peel","whip","pat"
"arm","click","chop","grip","twine"
"leg","tread","bounce","jump","creep"
"arm","scoop","shake","rub","throw"
"arm","catch","grasp","dunk","switch"
"arm","wipe","squeeze","scratch","scrape"
"leg","flee","slither","crawl","kick"
"leg","stomp","stumble","skip","trot"
"arm","carve","wrap","stab","stir"
"leg","glide","sway","ramble","stroll"
"arm","bash","scrub","skim","slap"
"leg","tiptoe","hop","kneel","wander"
"leg","plod","step","wobble","stray"
"arm","knock","seize","push","polish"
"arm","braid","wash","snatch","dig"
"leg","wade","march","scuff","jog"
