"type","word1","word2","word3","word4"
"leg","hike","pace","prance","skip"
"leg","leap","skate","ramble","walk"
"leg","step","crawl","traipse","flit"
"arm","scrape","poke","grab","whip"
"arm","dig","knock","tug","grip"
"arm","stab","claw","peel","bind"
"leg","trudge","plod","stumble","tread"
"arm","carve","throw","stir","hack"
"leg","rush","kick","roll","glide"
"arm","scratch","click","punch","pinch"
"arm","squeeze","brush","wrap","snatch"
"leg","stray","trip","wade","hop"
"leg","stomp","slide","sprint","stagger"
"arm","file","clutch","rub","fold"
"arm","wipe","pat","grate","bash"
"leg","tiptoe","sway","wobble","strut"
"leg","kneel","run","stride","roam"
"arm","wash","slap","clap","clean"
"leg","inch","creep","jog","stroll"
"leg","bounce","mount","stamp","limp"
"arm","dunk","scoop","switch","toss"
"leg","trot","march","jump","flee"
"arm","seize","push","delve","shake"
"leg","scuff","dance","climb","slither"
"arm","pull","polish","twine","grasp"
"arm","scrub","nip","skim","catch"
"leg","sneak","slip","wander","trek"
"arm","braid","chop","lift","cut"
