"type","word1","word2","word3","word4"
"arm","lift","bash","grab","clap"
"leg","trek","prance","trudge","jump"
"arm","snatch","seize","grasp","shake"
"arm","carve","switch","scratch","file"
"leg","bounce","strut","stomp","scuff"
"arm","cut","stir","braid","skim"
"arm","twine","tug","punch","whip"
"arm","scrub","nip","stab","push"
"leg","kick","jog","roam","stumble"
"leg","sneak","kneel","run","slither"
"arm","toss","chop","wrap","claw"
"leg","stagger","pace","plod","step"
"arm","fold","wipe","scrape","rub"
"leg","trot","rush","stamp","glide"
"leg","hike","tiptoe","dance","sway"
"arm","click","clutch","polish","catch"
"arm","pinch","clean","hack","dig"
"leg","walk","march","climb","skate"
"leg","roll","limp","traipse","mount"
"arm","grate","scoop","pat","slap"
"leg","slide","wade","inch","flee"
"arm","wash","brush","grip","knock"
"leg","ramble","tread","trip","stride"
"leg","hop","sprint","leap","creep"
"arm","dunk","squeeze","peel","poke"
"leg","crawl","flit","slip","skip"
"arm","pull","bind","throw","delve"
"leg","stroll","wobble","wander","stray"
