"type","word1","word2","word3","word4"
"leg","stomp","run","stray","glide"
"arm","catch","claw","poke","push"
"leg","dance","skate","traipse","scuff"
"arm","carve","pat","scratch","nip"
"leg","trip","flit","bounce","jog"
"leg","wander","wobble","rush","trudge"
"leg","jump","stumble","step","pace"
"arm","delve","seize","wash","clutch"
"arm","snatch","wipe","twine","click"
"leg","stagger","limp","roam","kick"
"arm","braid","scrub","chop","whip"
"arm","polish","cut","peel","dunk"
"leg","tread","crawl","mount","trek"
"arm","brush","scoop","pull","squeeze"
"arm","grab","grasp","lift","pinch"
"leg","sneak","slither","slip","trot"
"leg","ramble","wade","stride","skip"
"arm","grip","clap","fold","dig"
"leg","roll","stamp","plod","hike"
"arm","bash","stir","wrap","hack"
"arm","file","rub","clean","throw"
"leg","climb","leap","hop","slide"
"arm","shake","slap","bind","scrape"
"arm","switch","skim","knock","stab"
"leg","creep","tiptoe","strut","sprint"
"leg","prance","sway","walk","march"
"leg","stroll","flee","kneel","inch"
"arm","punch","tug","grate","toss"
