"type","word1","word2","word3","word4"
"arm","switch","hack","peel","skim"
"leg","stroll","tread","walk","skip"
"arm","slap","scratch","cut","toss"
"leg","wander","run","stray","crawl"
"arm","fold","wash","whip","grab"
"leg","traipse","trudge","wade","step"
"leg","stumble","sneak","creep","stride"
"arm","grasp","wipe","click","twine"
"arm","shake","clutch","grate","squeeze"
"leg","glide","limp","kick","sway"
"arm","stab","dig","stir","lift"
"arm","bind","wrap","polish","delve"
"leg","kneel","dance","sprint","mount"
"arm","file","chop","punch","poke"
"leg","plod","roam","pace","hop"
"arm","dunk","throw","claw","pinch"
"leg","trot","slip","skate","leap"
"arm","catch","knock","brush","clean"
"arm","scoop","clap","scrape","carve"
"arm","braid","snatch","nip","tug"
"leg","flee","climb","rush","march"
"leg","slither","bounce","scuff","roll"
"leg","stamp","flit","inch","slide"
"arm","rub","bash","push","scrub"
"leg","stomp","hike","trip","ramble"
"leg","trek","jump","prance","tiptoe"
"leg","stagger","jog","strut","wobble"
"arm","grip","seize","pat","pull"
