"type","word1","word2","word3","word4"
"leg","skate","run","stumble","sway"
"leg","climb","step","dance","ramble"
"leg","skip","stride","walk","stroll"
"arm","bash","slap","clutch","push"
"arm","bind","squeeze","grip","claw"
"leg","trek","stagger","hop","trip"
"arm","grate","nip","pinch","punch"
"arm","file","hack","clean","chop"
"arm","snatch","pull","seize","shake"
"leg","prance","wobble","jog","trudge"
"leg","kneel","limp","trot","flee"
"arm","whip","braid","scoop","twine"
"arm","stab","delve","grab","dunk"
"leg","wander","pace","slip","leap"
"arm","switch","carve","catch","polish"
"arm","clap","scratch","dig","wrap"
"leg","jump","scuff","hike","stamp"
"arm","scrape","wash","tug","skim"
"leg","bounce","creep","sneak","slide"
"arm","rub","knock","pat","scrub"
"leg","rush","strut","inch","slither"
"leg","traipse","march","mount","glide"
"leg","sprint","kick","plod","tiptoe"
"arm","throw","click","grasp","poke"
"leg","tread","stomp","roll","wade"
"arm","cut","stir","lift","wipe"
"arm","brush","fold","peel","toss"
"leg","flit","stray","roam","crawl"
