"type","word1","word2","word3","word4"
"leg","bounce","flit","sway","stagger"
"arm","tug","brush","bind","snatch"
"leg","sneak","stray","trip","creep"
"arm","chop","stir","pat","braid"
"arm","bash","grab","scoop","shake"
"leg","roam","skip","leap","glide"
"arm","scrub","grate","knock","push"
"arm","nip","poke","peel","skim"
"leg","strut","stride","slither","walk"
"arm","pull","whip","clap","stab"
"leg","plod","limp","scuff","march"
"leg","climb","slip","hike","stumble"
"arm","punch","grasp","toss","wipe"
"leg","tread","flee","rush","trot"
"leg","trek","stamp","hop","trudge"
"arm","scrape","claw","grip","delve"
"arm","lift","click","polish","seize"
"leg","wander","kick","crawl","stroll"
"arm","catch","fold","carve","clutch"
"arm","twine","clean","squeeze","cut"
"leg","jump","run","skate","traipse"
"leg","slide","sprint","roll","mount"
"leg","step","prance","ramble","tiptoe"
"arm","scratch","file","wrap","slap"
"leg","wade","inch","wobble","stomp"
"arm","dig","rub","wash","throw"
"arm","switch","dunk","hack","pinch"
"leg","pace","kneel","dance","jog"
