"type","word1","word2","word3","word4"
"arm","brush","scoop","wipe","braid"
"leg","scuff","wander","glide","skate"
"arm","toss","switch","claw","grasp"
"leg","strut","creep","jump","plod"
"leg","climb","stagger","stride","trot"
"arm","twine","lift","pinch","seize"
"leg","dance","skip","sway","hop"
"leg","rush","trip","stray","wobble"
"leg","inch","flit","jog","wade"
"arm","dunk","knock","click","scrape"
"arm","bash","stab","wrap","clap"
"leg","slide","roam","march","mount"
"arm","bind","carve","polish","catch"
"arm","whip","clutch","shake","hack"
"leg","slip","sprint","kneel","tread"
"leg","ramble","leap","kick","stomp"
"arm","delve","push","pat","grab"
"arm","rub","grip","punch","snatch"
"arm","wash","cut","skim","peel"
"leg","hike","stamp","crawl","bounce"
"arm","grate","dig","nip","scratch"
"arm","scrub","poke","chop","tug"
"arm","slap","clean","file","pull"
"leg","run","stumble","prance","slither"
"arm","throw","squeeze","stir","fold"
"leg","tiptoe","limp","stroll","flee"
"leg","trek","pace","roll","sneak"
"leg","step","walk","traipse","trudge"
