"type","word1","word2","word3","word4"
"arm","throw","clap","bind","scoop"
"leg","trek","plod","trudge","trot"
"arm","peel","dunk","stab","scratch"
"arm","carve","click","shake","whip"
"leg","hop","stray","tiptoe","walk"
"leg","sneak","glide","slither","limp"
"arm","twine","skim","delve","push"
"leg","wander","scuff","slide","wade"
"arm","seize","tug","lift","scrub"
"leg","flee","slip","march","sway"
"leg","inch","hike","skate","climb"
"arm","toss","wash","snatch","braid"
"leg","kneel","roam","jog","crawl"
"arm","grip","dig","polish","catch"
"leg","dance","rush","traipse","pace"
"leg","leap","wobble","run","tread"
"arm","squeeze","clutch","fold","rub"
"arm","wrap","grasp","brush","pat"
"leg","stamp","skip","roll","bounce"
"leg","strut","jump","stomp","sprint"
"arm","hack","pinch","switch","bash"
"arm","punch","grab","pull","poke"
"arm","nip","stir","grate","scrape"
"leg","kick","prance","ramble","stride"
"leg","flit","creep","stagger","stumble"
"leg","trip","mount","step","stroll"
"arm","wipe","file","claw","clean"
"arm","knock","cut","slap","chop"
